ros_question_id,ros_answer_id
9033,1
9033,2
9033,3
9036,4
9036,5
9037,6
9037,7
9037,8
9037,9
9038,10
9038,11
9039,12
9039,13
9039,14
9040,15
9040,16
9041,17
9041,18
9041,19
9041,20
9042,21
9042,22
9042,23
9043,24
9043,25
9044,26
9045,27
9045,28
9045,29
9045,30
9045,31
9046,32
9046,33
9047,34
9048,35
9048,36
9049,37
9050,38
9050,39
9050,40
9050,41
9050,42
9050,43
9050,44
9050,45
9052,46
9053,47
9053,48
9053,49
9054,50
9054,51
9055,52
9056,53
9056,54
9056,55
9056,56
9056,57
9057,58
9058,59
9058,60
9058,61
9058,62
9058,63
9059,64
9059,65
9059,66
9059,67
9059,68
9059,69
9059,70
9059,71
9059,72
9059,73
9060,74
9060,75
9060,76
9061,77
9061,78
9061,79
9061,80
9061,81
9061,82
9061,83
9061,84
9061,85
9061,86
9062,87
9062,88
9063,89
9063,90
9063,91
9063,92
9063,93
9063,94
9064,95
9064,96
9064,97
9065,98
9065,99
9065,100
9066,101
9066,102
9066,103
9066,104
9066,105
9067,106
9067,107
9067,108
9067,109
9067,110
9068,111
9068,112
9068,113
9068,114
9068,115
9068,116
9068,117
9068,118
9068,119
9068,120
9068,121
9068,122
9068,123
9068,124
9068,125
9068,126
9068,127
9068,128
9068,129
9068,130
9068,131
9068,132
9068,133
9068,134
9068,135
9068,136
9068,137
9068,138
9068,139
9068,140
9068,141
9068,142
9068,143
9068,144
9069,145
9069,146
9069,147
9070,148
9070,149
9071,150
9071,151
9071,152
9071,153
9072,154
9072,155
9072,156
9072,157
9072,158
9072,159
9072,160
9072,161
9073,162
9074,163
9074,164
9075,165
9075,166
9075,167
9075,168
9075,169
9075,170
9075,171
9077,172
9078,173
9078,174
9078,175
9078,176
9078,177
9078,178
9078,179
9078,180
9078,181
9079,182
9081,183
9081,184
9081,185
9081,186
9082,187
9082,188
9082,189
9082,190
9084,191
9084,192
9084,193
9084,194
9085,195
9085,196
9086,197
9086,198
9086,199
9086,200
9086,201
9086,202
9086,203
9086,204
9086,205
9087,206
9087,207
9087,208
9087,209
9087,210
9087,211
9087,212
9087,213
9088,214
9088,215
9088,216
9095,217
9095,218
9091,219
9091,220
9091,221
9091,222
9091,223
9091,224
9092,225
9092,226
9092,227
9092,228
9092,229
9092,230
9092,231
9094,232
9094,233
9094,234
9094,235
9094,236
9094,237
9094,238
9094,239
9094,240
9096,241
9096,242
9096,243
9096,244
9097,245
9097,246
9097,247
9097,248
9097,249
9097,250
9099,251
9099,252
9099,253
9099,254
9099,255
9100,256
9101,257
9101,258
9101,259
9101,260
9101,261
9101,262
9102,263
9102,264
9102,265
9102,266
9102,267
9102,268
9102,269
9102,270
9102,271
9102,272
9102,273
9102,274
9102,275
9102,276
9102,277
9102,278
9102,279
9102,280
9102,281
9102,282
9102,283
9102,284
9102,285
9102,286
9102,287
9102,288
9102,289
9102,290
9102,291
9102,292
9102,293
9103,294
9103,295
9103,296
9103,297
9103,298
9103,299
9103,300
9103,301
9103,302
9103,303
9103,304
9103,305
9103,306
9103,307
9103,308
9103,309
9103,310
9103,311
9103,312
9104,313
9104,314
9106,315
9106,316
9106,317
9108,318
9108,319
9108,320
9108,321
9108,322
9108,323
9108,324
9108,325
9108,326
9108,327
9108,328
9108,329
9108,330
9107,331
9107,332
9107,333
9107,334
9110,335
9110,336
9110,337
9110,338
9110,339
9110,340
9110,341
9110,342
9111,343
9111,344
9111,345
9112,346
9114,347
9114,348
9114,349
9114,350
9114,351
9114,352
9114,353
9115,354
9115,355
9115,356
9115,357
9115,358
9115,359
9119,360
9119,361
9119,362
9120,363
9120,364
9121,365
9121,366
9122,367
9122,368
9123,369
9123,370
9123,371
9123,372
9125,373
9126,374
9126,375
9126,376
9127,377
9127,378
9127,379
9129,380
9130,381
9130,382
9130,383
9130,384
9130,385
9130,386
9130,387
9130,388
9130,389
9130,390
9131,391
9131,392
9131,393
9132,394
9132,395
9132,396
9132,397
9132,398
9133,399
9134,400
9134,401
9134,402
9134,403
9134,404
9134,405
9136,406
9136,407
9136,408
9136,409
9136,410
9136,411
9136,412
9136,413
9135,414
9135,415
9135,416
9135,417
9135,418
9116,419
9116,420
9116,421
9116,422
9116,423
9116,424
9137,425
9137,426
9137,427
9137,428
9137,429
9137,430
9137,431
9137,432
9137,433
9137,434
9137,435
9137,436
9138,437
9138,438
9138,439
9138,440
9138,441
9139,442
9139,443
9139,444
9139,445
9139,446
9139,447
9139,448
9140,449
9141,450
9141,451
9141,452
9142,453
9142,454
9142,455
9142,456
9143,457
9146,458
9146,459
9147,460
9147,461
9149,462
9150,463
9150,464
9150,465
9150,466
9151,467
9151,468
9151,469
9152,470
9152,471
9152,472
9152,473
9153,474
9154,475
9154,476
9155,477
9155,478
9156,479
9156,480
9156,481
9156,482
9156,483
9156,484
9156,485
9156,486
9156,487
9156,488
9156,489
9156,490
9156,491
9156,492
9156,493
9156,494
9156,495
9156,496
9156,497
9156,498
9156,499
9156,500
9156,501
9157,502
9157,503
9157,504
9158,505
9158,506
9158,507
9159,508
9159,509
9159,510
9159,511
9160,512
9160,513
9160,514
9161,515
9161,516
9161,517
9162,518
9162,519
9162,520
9162,521
9162,522
9162,523
9163,524
9163,525
9163,526
